State,District,Date,Year,Month,Avg_rainfall,Agency_name,source_file
Tamil Nadu,Ariyalur,2021-02-06,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-02-07,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-02-10,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-02-12,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-02-17,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-02-22,2021,2,7.436833556,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-02-27,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-03-04,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-03-09,2021,3,1.748619822,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-03-21,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-03-23,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-03-25,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-03-27,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-04-08,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-04-09,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-04-10,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-04-14,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-04-16,2021,4,1.943314493,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-04-22,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-04-30,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-05-11,2021,5,4.797777716,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-05-13,2021,5,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-05-16,2021,5,3.322377661,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-05-25,2021,5,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-05-28,2021,5,1.289821699,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-06-05,2021,6,2.748189152,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-06-12,2021,6,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-06-22,2021,6,6.394096755,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-06-24,2021,6,0.831181783,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-06-26,2021,6,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-06-29,2021,6,0.706313409,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-07-06,2021,7,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-07-07,2021,7,0.055253259,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-07-08,2021,7,3.744090678,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-07-09,2021,7,3.444990115,IMD GRID MODEL,2021.csv
